subject_id,original_filepath,processed_filepath,folder_name,label,split,original_shape_x,original_shape_y,original_shape_z,processed_shape_x,processed_shape_y,processed_shape_z,status,error_message
lh.pptnIXI329-HH-1908-MADisoTFE1_-s3T181_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\lh.pptnIXI329-HH-1908-MADisoTFE1_-s3T181_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\lh.pptnIXI329-HH-1908-MADisoTFE1_-s3T181_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,256.0,256.0,150.0,128.0,128.0,128.0,success,
mwp1IXI118-Guys-0764-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI118-Guys-0764-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI118-Guys-0764-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI123-Guys-0774-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI123-Guys-0774-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI123-Guys-0774-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI126-HH-1437-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI126-HH-1437-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI126-HH-1437-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI132-HH-1415-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI132-HH-1415-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI132-HH-1415-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI134-Guys-0780-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI134-Guys-0780-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI134-Guys-0780-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI140-Guys-0787-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI140-Guys-0787-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI140-Guys-0787-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI145-Guys-0781-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI145-Guys-0781-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI145-Guys-0781-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI148-HH-1453-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI148-HH-1453-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI148-HH-1453-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI150-HH-1550-T1,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI150-HH-1550-T1.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI150-HH-1550-T1.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI157-Guys-0816-MPRAGESEN_-s254_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI157-Guys-0816-MPRAGESEN_-s254_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI157-Guys-0816-MPRAGESEN_-s254_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI164-Guys-0844-MPRAGESEN_-s260_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI164-Guys-0844-MPRAGESEN_-s260_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI164-Guys-0844-MPRAGESEN_-s260_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI169-Guys-0842-MPRAGESEN_-s260_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI169-Guys-0842-MPRAGESEN_-s260_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI169-Guys-0842-MPRAGESEN_-s260_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI176-HH-1604-IXIMADisoTFE12_-s3T151_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI176-HH-1604-IXIMADisoTFE12_-s3T151_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI176-HH-1604-IXIMADisoTFE12_-s3T151_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI182-Guys-0792-MPRAGESEN_-s251_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI182-Guys-0792-MPRAGESEN_-s251_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI182-Guys-0792-MPRAGESEN_-s251_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI208-Guys-0808-MPRAGESEN_-s253_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI208-Guys-0808-MPRAGESEN_-s253_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI208-Guys-0808-MPRAGESEN_-s253_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
mwp1IXI212-HH-1643-IXIMADisoTFE12_-s3T155_-0301-00003-000001-01,D:\github\IOT_Project\dataset\mr_IXI_480i\mwp1IXI212-HH-1643-IXIMADisoTFE12_-s3T155_-0301-00003-000001-01.nii,D:\github\IOT_Project\data\processed\volumes\test\mwp1IXI212-HH-1643-IXIMADisoTFE12_-s3T155_-0301-00003-000001-01.npy,mr_IXI_480i,0,test,113.0,137.0,113.0,128.0,128.0,128.0,success,
