technique,family,device_context,effective_size_mb,accuracy,avg_batch_time_sec,avg_image_time_sec,throughput_img_sec,peak_gpu_memory_mb,sparsity,compression_ratio,finetune_time_sec,source_file,size_score,speed_score,accuracy_score,vm1_score,vm2_score,vm3_score
baseline_cpu,baseline,cpu,42.6916,0.987013,0.243888,0.003811,262.42,,,,,D:\github\IOT_Project\results\optimization\baseline_benchmark_cpu.txt,2.1935184662979087e-05,0.14847363552266424,0.0,0.051975643266030824,0.04454867121219816,0.029699114141465446
baseline_gpu,baseline,gpu,42.6916,0.987013,0.012023,0.000188,5323.26,182.79,,,,D:\github\IOT_Project\results\optimization\baseline_benchmark.txt,2.1935184662979087e-05,0.9863552266419982,0.0,0.34523420015779765,0.29591314854799833,0.19727543236533224
q1_dynamic_quantization,quantization,cpu,42.6899,0.987013,0.268068,0.004189,238.75,,,1.0,,D:\github\IOT_Project\results\optimization\q1_dynamic_quantization_report.txt,7.520634741576926e-05,0.06105457909343208,0.0,0.021402945539038324,0.018338935632254354,0.01222595708816957
q2_static_ptq_fx,quantization,cpu,10.7801,0.987013,0.074879,0.00117,854.71,,,3.9602,,D:\github\IOT_Project\results\optimization\q2_static_ptq_fx_report.txt,1.0,0.7592506938020351,0.0,0.7157377428307123,0.5277752081406105,0.35185013876040705
q3_qat,quantization,cpu,10.7809,0.99053,0.09886,0.001545,647.38,,,3.9599,148.11,D:\github\IOT_Project\results\optimization\q3_qat_report.txt,0.9999749312175279,0.6725254394079556,1.0,0.885372622840672,0.901750111187645,0.9345000741250967
q4_weight_only,quantization,cpu,21.3633,0.987013,0.219783,0.003434,291.2,,,1.9984,,D:\github\IOT_Project\results\optimization\q4_weight_only_report.txt,0.6683650766791384,0.23566142460684555,0.0,0.3832457831180082,0.27120795038579515,0.1808053002571968
q5_mixed_precision,quantization,gpu,21.3644,0.987013,0.008243,0.000129,7764.18,126.8,,1.9983,,D:\github\IOT_Project\results\optimization\q5_mixed_precision_report.txt,0.6683306071032395,1.0,0.0,0.6507487731964579,0.5004991821309719,0.3336661214206479
p1_unstructured_pruning,pruning,cpu,42.6923,0.987013,0.285021,0.004453,224.55,,0.299742,1.0,111.73,D:\github\IOT_Project\results\optimization\p1_unstructured_pruning_report.txt,0.0,0.0,0.0,0.0,0.0,0.0
p2_structured_pruning,pruning,cpu,42.692,0.987013,0.272728,0.004261,234.67,,0.199265,1.0,112.62,D:\github\IOT_Project\results\optimization\p2_structured_pruning_report.txt,9.400793427054653e-06,0.0444033302497688,0.0,0.015545395944461254,0.013323819312958757,0.008882546208639172
p3_magnitude_pruning,pruning,cpu,42.6919,0.987013,0.274324,0.004286,233.3,,0.299742,1.0,114.39,D:\github\IOT_Project\results\optimization\p3_magnitude_pruning_report.txt,1.2534391236147089e-05,0.03862164662349687,0.0,0.01352321679428017,0.011590254304419904,0.007726836202946603
