vm,technique_requested,technique_used_set,n,errors,accuracy,latency_ms_mean,latency_ms_std,cpu_pct_mean,ram_mb_mean
vm1,baseline,baseline,10,0,1.0,93.525,37.108,3.4,726.6
vm1,q1,q1,10,0,1.0,124.868,78.412,6.5,771.8
vm1,q2,baseline,10,0,1.0,177.08,146.745,4.9,738.8
vm1,q3,baseline,10,0,1.0,52.488,56.946,5.9,740.6
vm1,q4,q4,10,0,1.0,79.552,52.03,6.5,725.2
vm1,q5,q5,10,0,1.0,127.813,74.903,6.6,723.2
vm1,p1,p1,10,0,1.0,114.72,37.917,7.1,730.6
vm1,p2,p2,10,0,1.0,84.694,44.579,7.7,727.3
vm1,p3,p3,10,0,1.0,109.06,79.288,7.5,720.3
vm2,baseline,baseline,10,0,1.0,26.655,23.859,5.5,847.5
vm2,q1,q1,10,0,1.0,32.836,25.03,14.6,847.0
vm2,q2,baseline,10,0,1.0,29.428,26.488,9.1,861.8
vm2,q3,baseline,10,0,1.0,25.674,24.638,7.2,861.2
vm2,q4,q4,10,0,1.0,55.836,31.542,13.0,865.1
vm2,q5,q5,10,0,1.0,43.323,27.966,14.2,865.6
vm2,p1,p1,10,0,1.0,34.247,24.448,12.3,859.0
vm2,p2,p2,10,0,1.0,34.756,25.997,13.5,856.1
vm2,p3,p3,10,0,1.0,52.699,51.027,16.5,855.9
vm3,baseline,baseline,10,0,1.0,50.633,38.157,8.3,836.9
vm3,q1,q1,10,0,1.0,34.012,29.198,11.7,833.0
vm3,q2,baseline,10,0,1.0,23.106,22.757,7.6,852.9
vm3,q3,baseline,10,0,1.0,15.467,12.792,6.3,868.4
vm3,q4,q4,10,0,1.0,26.339,25.359,11.5,868.4
vm3,q5,q5,10,0,1.0,42.552,26.684,11.5,870.9
vm3,p1,p1,10,0,1.0,35.475,28.037,12.0,866.6
vm3,p2,p2,10,0,1.0,36.44,43.05,13.8,869.9
vm3,p3,p3,10,0,1.0,32.644,28.503,16.0,871.2
